project, status, reproducibleVariants, nonReproducibleVariants, stars
google.golang.org/protobuf, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2265
github.com/mitchellh/reflectwalk, Fully Reproducible, ['all'], [], 194
github.com/fsouza/go-dockerclient, Fully Reproducible, ['all'], [], 2050
github.com/oschwald/geoip2-golang, Fully Reproducible, ['all'], [], 1588
github.com/moby/buildkit, Fully Reproducible, ['all'], [], 6887
github.com/shirou/gopsutil/v3, Fully Reproducible, ['all'], [], 9200
github.com/lucas-clemente/quic-go, Fully Reproducible, ['all'], [], 8422
github.com/emicklei/go-restful, Fully Reproducible, ['all'], [], 4781
github.com/huin/goupnp, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 373
github.com/boltdb/bolt, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 13607
github.com/gobuffalo/packr/v2, Fully Reproducible, ['all'], [], 3335
github.com/bitly/go-simplejson, Fully Reproducible, ['all'], [], 3694
github.com/gotestyourself/gotestyourself, Fully Reproducible, ['all'], [], 437
github.com/go-playground/validator, Fully Reproducible, ['all'], [], 13432
github.com/rs/zerolog, Fully Reproducible, ['all'], [], 8436
github.com/hashicorp/memberlist, Fully Reproducible, ['all'], [], 2992
github.com/hashicorp/go-getter, Fully Reproducible, ['all'], [], 1468
github.com/avast/retry-go, Fully Reproducible, ['all'], [], 1607
github.com/urfave/negroni, Fully Reproducible, ['all'], [], 7334
github.com/spf13/cast, Fully Reproducible, ['all'], [], 2915
go.uber.org/zap, Fully Reproducible, ['all'], [], 17813
cloud.google.com/go/pubsub, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3326
github.com/lucasb-eyer/go-colorful, Fully Reproducible, ['all'], [], 916
github.com/ory/dockertest, Fully Reproducible, ['all'], [], 3527
github.com/mholt/caddy, Fully Reproducible, ['all'], [], 48011
github.com/beevik/ntp, Fully Reproducible, ['all'], [], 425
github.com/hashicorp/go-hclog, Fully Reproducible, ['all'], [], 275
github.com/klauspost/pgzip, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1023
github.com/ugorji/go, Fully Reproducible, ['all'], [], 1750
github.com/coreos/etcd, Fully Reproducible, ['all'], [], 43902
github.com/mattn/go-shellwords, Fully Reproducible, ['all'], [], 372
github.com/magefile/mage, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 3576
github.com/dustin/go-humanize, Fully Reproducible, ['all'], [], 3460
github.com/google/martian, Fully Reproducible, ['all'], [], 1886
github.com/gdamore/tcell, Fully Reproducible, ['all'], [], 3987
github.com/yudai/gojsondiff, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 483
github.com/go-openapi/swag, Fully Reproducible, ['all'], [], 156
github.com/swaggo/gin-swagger, Fully Reproducible, ['all'], [], 3040
github.com/spaolacci/murmur3, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 531
github.com/dnaeon/go-vcr, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 964
github.com/spf13/viper, Fully Reproducible, ['all'], [], 23300
github.com/posener/complete, Fully Reproducible, ['all'], [], 866
github.com/sirupsen/logrus, Fully Reproducible, ['all'], [], 22747
github.com/leodido/go-urn, Fully Reproducible, ['all'], [], 68
github.com/gorilla/mux, Fully Reproducible, ['all'], [], 18190
github.com/gorilla/handlers, Fully Reproducible, ['all'], [], 1527
gopkg.in/cheggaaa/pb.v1, Fully Reproducible, ['all'], [], 3459
github.com/hashicorp/go-uuid, Fully Reproducible, ['all'], [], 144
github.com/docker/libnetwork, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 1991
github.com/hashicorp/go-version, Fully Reproducible, ['all'], [], 1379
github.com/alicebob/miniredis, Fully Reproducible, ['all'], [], 2626
gopkg.in/alecthomas/kingpin.v2, Fully Reproducible, ['all'], [], 3304
github.com/jstemmer/go-junit-report, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 657
github.com/elazarl/goproxy, Fully Reproducible, ['all'], [], 5423
github.com/urfave/cli, Fully Reproducible, ['all'], [], 20367
github.com/docker/distribution, Fully Reproducible, ['all'], [], 7691
honnef.co/go/tools, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 5279
github.com/hashicorp/hcl, Fully Reproducible, ['all'], [], 4706
k8s.io/klog, Fully Reproducible, ['all'], [], 462
github.com/mattn/go-isatty, Fully Reproducible, ['all'], [], 705
